ID;CODE;PRIORITY;COMPARING_GROUP
4380;B03.016.003;0.5;122
4381;B03.016.004;0.5;122
4382;B03.016.005;0.5;122
4383;A05.02.001;0.3;122
4384;A05.23.009;0.1;122
4385;A05.30.008;0.1;122
4386;A06.03.002;0.1;122
4387;A06.03.010;0.3;122
4388;A06.03.012;0.1;122
4389;A06.03.018;0.1;122
4390;A06.30.002;0.4;122
4391;A06.30.002.001;0.2;122
4392;A06.30.002.002;0.2;122
4399;B03.016.002;1;123
4400;B03.016.006;1;123
4401;A05.10.004;1;123
4402;A05.10.006;1;123
4403;A05.30.008;0.2;123
4404;A05.30.010;0.2;123
4405;A06.03.002;0.2;123
4406;A06.03.005;0.1;123
4407;A06.03.011;0.05;123
4408;A06.03.012;0.2;123
4409;A06.09.007;1;123
4410;A06.30.002;1;123
4411;A06.30.002.001;1;123
4412;A06.30.002.002;1;123
4419;B03.016.003;1;124
4420;B03.016.004;1;124
4421;B03.016.006;1;124
4422;A05.23.007;0.02;124
4434;A09.05.023;1;125
4435;A09.05.083;0.3;125
4436;B03.016.003;1;125
4437;B03.016.004;1;125
4438;B03.016.006;1;125
4439;A05.02.001;0.5;125
4440;A05.02.001.003;0.5;125
4457;A09.05.009;1;126
4458;A09.05.011;1;126
4459;A09.05.014;1;126
4460;A09.05.039;1;126
4461;A09.05.043;1;126
4462;A09.05.075;0.3;126
4463;A09.19.001;0.05;126
4464;A09.20.005;1;126
4465;A12.06.010;1;126
4466;A12.06.011;1;126
4467;A12.06.019;1;126
4468;A12.06.029;1;126
4469;A12.26.002;0.5;126
4470;B03.005.006;0.5;126
4471;B03.016.002;1;126
4472;B03.016.004;1;126
4473;B03.016.006;1;126
4474;A03.16.001;0.7;126
4475;A04.10.002;0.1;126
4476;A04.16.001;1;126
4477;A05.10.006;1;126
4478;A06.04.005;0.5;126
4479;A06.04.010;0.5;126
4480;A06.04.011;0.5;126
4481;A06.09.007;1;126
4482;A12.09.001;0.1;126
4495;A09.05.009;1;127
4496;A09.05.054;1;127
4497;A12.06.015;1;127
4498;A12.06.019;1;127
4499;A12.26.002;1;127
4500;B03.005.008;0.01;127
4501;B03.016.002;1;127
4502;B03.016.004;1;127
4503;B03.016.006;1;127
4504;A04.10.002;1;127
4505;A05.10.006;1;127
4506;A06.03.032;1;127
4507;A06.03.041;0.3;127
4508;A06.03.042;1;127
4509;A06.03.052;0.01;127
4510;A06.04.003;0.05;127
4511;A06.04.004;1;127
4512;A06.04.005;1;127
4513;A06.04.010;0.1;127
4514;A06.04.012;0.05;127
4515;A06.09.007;1;127
4516;B03.052.001;1;127
4533;A09.05.009;1;128
4534;A09.05.011;1;128
4535;A09.19.001;0.05;128
4536;A09.20.005;1;128
4537;A12.06.019;1;128
4538;A12.06.029;1;128
4539;A12.26.002;0.5;128
4540;B03.005.006;0.5;128
4541;B03.016.002;1;128
4542;B03.016.004;1;128
4543;B03.016.006;1;128
4544;A03.16.001;0.7;128
4545;A04.10.002;0.1;128
4546;A04.16.001;1;128
4547;A05.10.006;1;128
4548;A06.04.005;0.1;128
4549;A06.04.010;0.1;128
4550;A06.04.011;0.1;128
4551;A06.09.007;1;128
4552;A12.09.001;0.1;128
4561;A09.05.009;1;129
4562;A09.05.054;1;129
4563;A12.06.010;1;129
4564;A12.06.015;1;129
4565;A12.06.019;1;129
4566;A12.26.662;1;129
4567;B03.016.002;1;129
4568;B03.016.064;1;129
4569;A04.10.002;1;129
4570;A05.10.006;1;129
4571;A06.03.032;1;129
4572;A06.03.041;0.3;129
4573;A06.03.042;1;129
4574;A06.03.052;0.01;129
4575;A06.04.003;0.05;129
4576;A06.04.004;1;129
4577;A06.04.005;1;129
4578;A06.04.010;0.1;129
4579;A06.04.012;0.05;129
